Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"11432(40.71311535449, -73.792820999789)",Residential,1830443,193122,ConEd
"10001(40.750259021437, -73.99688630376)",Residential,58338,6155,ConEd
"11423(40.717222295672, -73.76714149998)",Commercial,23,2,ConEd
"10034(40.870617109292, -73.924223258796)",Residential,473019,49906,ConEd
"11218(40.64322700852, -73.976448622106)",Large residential,8839578,932625,National Grid
"11416(40.684578097002, -73.849601668482)",Large residential,138988,14664,National Grid
"10452(40.837724263364, -73.923332211412)",Residential,986430,104074,ConEd
"10033(40.856219929206, -73.945859000193)",Residential,628133,66272,ConEd
"11356(40.784928096754, -73.841810700403)",Commercial,2415327,254831,ConEd
"10475(40.874142343794, -73.827068565562)",Commercial,755111,79668,ConEd
"11223(40.596939623165, -73.973311472047)",Institutional,1093448,115365,National Grid
"10035(40.793817035428, -73.919317500202)",Commercial,2154540,227316,ConEd
"11421(40.691764587566, -73.85702228585)",Institutional,154578,16309,National Grid
"11238(40.67886241347, -73.963820469639)",Commercial,2045915,215855,National Grid
"10303(40.633032309993, -74.16834884982)",Commercial,1062619,112112,National Grid
"11413(40.669711181226, -73.750873933285)",Commercial,639059,67424,National Grid
"11204(40.619055848049, -73.984798598876)",Small residential,14470621,1526732,National Grid
"11363(40.772398418252, -73.746797887413)",Residential,1706804,180077,ConEd
"11238(40.67886241347, -73.963820469639)",Institutional,1006041,106143,National Grid
"11357(40.786284041475, -73.811232061011)",Residential,324086,34193,ConEd
"11419(40.688713790409, -73.822888330532)",Large residential,221654,23386,National Grid
"10022(40.758630224006, -73.96809182218)",Commercial,2849019,300587,ConEd
"10027(40.811549564461, -73.952900335682)",Commercial,2931338,309273,ConEd
"11375(40.72070726303, -73.846284296083)",Industrial,483373,50999,National Grid
"11239(40.64949607998, -73.865524999879)",Small residential,187050,19735,National Grid
"10003(40.731943947555, -73.98887214913)",Residential,260502,27484,ConEd
"10012(40.725538020863, -73.997896410591)",Commercial,2987748,315224,ConEd
"11375(40.72070726303, -73.846284296083)",Large residential,15937171,1681461,National Grid
"11217(40.682312101322, -73.979567188575)",Large residential,7818509,824896,National Grid
"10461(40.846960590359, -73.840632836736)",Commercial,3065943,323474,ConEd
"11379(40.71679766548, -73.879334213103)",Industrial,168135,17739,National Grid
"10310(40.632789000212, -74.11645860538)",Institutional,256154,27026,National Grid
"10304(40.591229442585, -74.111328000087)",Commercial,1445743,152534,National Grid
"10471(40.901994423104, -73.903626500562)",Residential,128800,13589,ConEd
"11236(40.640021493797, -73.901121939926)",Small residential,19201617,2025878,National Grid
"10312(40.542955977337, -74.180376817236)",Commercial,1174629,123930,National Grid
"10282(40.719614557066, -74.014649282938)",Commercial,1704836,179870,ConEd
"11419(40.688713790409, -73.822888330532)",Industrial,95925,10121,National Grid
"11109(40.744414792409, -73.957702346686)",Commercial,45899,4843,ConEd
"11362(40.759074216602, -73.734300177111)",Residential,2911498,307179,ConEd
"11222(40.728253121784, -73.947159783197)",Large residential,3928747,414505,National Grid
"11427(40.729310574324, -73.750676021281)",Commercial,661448,69786,ConEd
"11215(40.665557251366, -73.979681535574)",Commercial,5232962,552107,National Grid
"11212(40.662797169953, -73.912984894337)",Commercial,1796469,189538,National Grid
"10007(40.713630519433, -74.009131383706)",Residential,605082,63840,ConEd
"10029(40.791610720558, -73.944032281065)",Residential,1856481,195869,ConEd
"10045(40.70786499997, -74.008144000046)",Commercial,16246,1714,ConEd
"10037(40.813297761083, -73.937282525568)",Residential,33817,3568,ConEd
"11370(40.75935377086, -73.8918440004)",Residential,1414,149,ConEd
"11433(40.698104881735, -73.787574033914)",Small residential,5792993,611193,National Grid
"10455(40.813535754971, -73.905355252043)",Residential,226661,23914,ConEd
"10469(40.868181802748, -73.846568687795)",Commercial,8063164,850709,ConEd
"10019(40.76761164716, -73.991805500224)",Commercial,12204102,1287601,ConEd
"11219(40.632772955408, -73.996676811186)",Commercial,2866327,302414,National Grid
"11040(40.745299961824, -73.679631932268)",Residential,17466,1843,ConEd
"11419(40.688713790409, -73.822888330532)",Commercial,1174701,123938,National Grid
"10033(40.856219929206, -73.945859000193)",Commercial,1766048,186328,ConEd
"11412(40.698127117473, -73.759235198346)",Commercial,522819,55160,National Grid
"10007(40.713630519433, -74.009131383706)",Residential,12845,1355,ConEd
"10006(40.708256140309, -74.013553569641)",Commercial,1361410,143636,ConEd
"11103(40.762868930257, -73.91327185811)",Commercial,2788104,294161,ConEd
"10472(40.829730432513, -73.870132131393)",Residential,2650312,279623,ConEd
"11358(40.760350968822, -73.796326458199)",Commercial,2357195,248697,ConEd
"11361(40.764188848137, -73.7723255286)",Commercial,2049571,216241,ConEd
"10024(40.783625568166, -73.966539000574)",Commercial,926,98,ConEd
"11417(40.676363730802, -73.844542755344)",Institutional,196503,20732,National Grid
"10017(40.752456527447, -73.97297648088)",Residential,168035,17729,ConEd
"11225(40.663170058551, -73.953701109119)",Institutional,1222964,129030,National Grid
"11109(40.744414792409, -73.957702346686)",Residential,175063,18470,ConEd
"11372(40.751630739367, -73.883612545283)",Commercial,3234761,341285,National Grid
"10455(40.813535754971, -73.905355252043)",Residential,1650436,174130,ConEd
"11432(40.71311535449, -73.792820999789)",Residential,77137,8138,ConEd
"11432(40.71311535449, -73.792820999789)",Large Residential,2212791,233462,ConEd
"11101(40.745702449808, -73.938669029252)",Commercial,9475891,999760,ConEd
"11429(40.709913120494, -73.738640316098)",Commercial,755,80,ConEd
"11433(40.698104881735, -73.787574033914)",Commercial,1531565,161589,National Grid
"11417(40.676363730802, -73.844542755344)",Industrial,47683,5031,National Grid
"11205(40.693882095283, -73.964334507731)",Commercial,4023498,424502,National Grid
"11205(40.693882095283, -73.964334507731)",Large residential,11356025,1198124,National Grid
"10014(40.733586451354, -74.010199604728)",Commercial,6034243,636646,ConEd
"11356(40.784928096754, -73.841810700403)",Residential,2618017,276215,ConEd
"11691(40.600614338481, -73.762567774683)",Commercial,7506142,791940,National Grid
"10016(40.745242969987, -73.978232985864)",Commercial,3446607,363636,ConEd
"10467(40.877047912132, -73.871532500824)",Commercial,10790922,1138503,ConEd
"10027(40.811549564461, -73.952900335682)",Commercial,11932340,1258929,ConEd
"11239(40.64949607998, -73.865524999879)",Institutional,274144,28924,National Grid
"10039(40.826681928628, -73.937770907801)",Commercial,430554,45426,ConEd
"11040(40.745299961824, -73.679631932268)",Residential,378066,39888,ConEd
"10464(40.875709096797, -73.812297250418)",Residential,46873,4945,ConEd
"10128(40.781770000585, -73.95062814907)",Commercial,32026,3379,ConEd
"10459(40.825526216162, -73.893131067844)",Residential,317074,33453,ConEd
"10040(40.858095531883, -73.929255489949)",Commercial,1511169,159437,ConEd
"10013(40.721242188776, -74.008889000227)",Commercial,6067132,640116,ConEd
"11374(40.726464917022, -73.861480847563)",Institutional,328460,34654,National Grid
"11206(40.701912016826, -73.942379198541)",Institutional,2486776,262369,National Grid
"10312(40.542955977337, -74.180376817236)",Industrial,13482,1422,National Grid
"11367(40.730323085042, -73.82610630716)",Commercial,970445,102387,ConEd
"11413(40.669711181226, -73.750873933285)",Institutional,394872,41661,National Grid
"11222(40.728253121784, -73.947159783197)",Small residential,4373864,461467,National Grid
"11233(40.678130438169, -73.919776475504)",Large residential,10673659,1126131,National Grid
"11214(40.604011809897, -74.000969000119)",Large residential,7906290,834158,National Grid
"11104(40.744893366636, -73.920541345307)",Residential,1153072,121656,ConEd
"11435(40.701192649122, -73.809796655791)",Large residential,4902151,517204,National Grid
"11040(40.745299961824, -73.679631932268)",Large Residential,3364311,354954,ConEd
"11428(40.721396964798, -73.741937297268)",Residential,69640,7347,ConEd
"11230(40.621929510239, -73.965511060187)",Institutional,3604096,380252,National Grid
"11375(40.72070726303, -73.846284296083)",Institutional,283731,29935,National Grid
"10026(40.803058121635, -73.953342776048)",Commercial,5647551,595848,ConEd
"11422(40.661613493968, -73.736051726406)",Institutional,240378,25361,National Grid
"11238(40.67886241347, -73.963820469639)",Large residential,9649474,1018074,National Grid
"10001(40.750259021437, -73.99688630376)",Large Residential,3616905,381604,ConEd
"11385(40.701224891615, -73.88334858437)",Commercial,3526058,372019,National Grid
"11368(40.749678220374, -73.853040688577)",Institutional,1001098,105621,National Grid
"11365(40.739871843711, -73.794621535156)",Residential,222234,23447,ConEd
"11370(40.75935377086, -73.8918440004)",Commercial,1119225,118085,National Grid
"11354(40.768620220647, -73.827190280707)",Commercial,7628542,804854,ConEd
"11233(40.678130438169, -73.919776475504)",Commercial,1223131,129047,National Grid
"11378(40.721453104977, -73.908543500682)",Commercial,3345377,352956,National Grid
"11106(40.761699790013, -73.931663252957)",Large Residential,66963,7065,ConEd
"10473(40.817731470931, -73.860537000082)",Residential,3609517,380824,ConEd
"10034(40.870617109292, -73.924223258796)",Commercial,1961050,206902,ConEd
"10462(40.842258336653, -73.857996632938)",Commercial,3712204,391658,ConEd
"11413(40.669711181226, -73.750873933285)",Industrial,387601,40894,National Grid
"11421(40.691764587566, -73.85702228585)",Large residential,1299205,137073,National Grid
"10456(40.830436680009, -73.907765199504)",Commercial,14583516,1538643,ConEd
"10451(40.820696407114, -73.923841367985)",Large Residential,3433811,362286,ConEd
"10458(40.862601328688, -73.884790015047)",Residential,1068746,112759,ConEd
"11417(40.676363730802, -73.844542755344)",Small residential,6605848,696954,National Grid
"10028(40.776344978838, -73.952966679569)",Commercial,2078,219,ConEd
"10472(40.829730432513, -73.870132131393)",Residential,827862,87344,ConEd
"11416(40.684578097002, -73.849601668482)",Industrial,141055,14882,National Grid
"11239(40.64949607998, -73.865524999879)",Commercial,487427,51426,National Grid
"10035(40.793817035428, -73.919317500202)",Residential,126399,13336,ConEd
"10025(40.796850127631, -73.963725810598)",Large Residential,3058952,322737,ConEd
"10452(40.837724263364, -73.923332211412)",Commercial,8504273,897248,ConEd
"10002(40.716121467931, -73.985831470246)",Residential,550055,58034,ConEd
"11377(40.745193764481, -73.90484714408)",Commercial,358163,37788,ConEd
"11435(40.701192649122, -73.809796655791)",Residential,6659,703,ConEd
"10301(40.626785508445, -74.096112910882)",Commercial,2358335,248818,National Grid
"11102(40.771524024514, -73.926435450735)",Commercial,3509357,370257,ConEd
"11203(40.649721601171, -73.934276085673)",Industrial,268262,28303,National Grid
"10005(40.706125792072, -74.008584685835)",Residential,27868,2940,ConEd
"10023(40.774536138232, -73.979943356101)",Residential,243744,25716,ConEd
"11354(40.768620220647, -73.827190280707)",Residential,299334,31581,ConEd
"10472(40.829730432513, -73.870132131393)",Commercial,5479605,578129,ConEd
"11230(40.621929510239, -73.965511060187)",Industrial,101877,10749,National Grid
"10464(40.875709096797, -73.812297250418)",Commercial,75,8,ConEd
"11236(40.640021493797, -73.901121939926)",Industrial,805099,84942,National Grid
"11232(40.654511617018, -74.000033929122)",Institutional,1847474,194919,National Grid
"11219(40.632772955408, -73.996676811186)",Industrial,3101780,327255,National Grid
"11217(40.682312101322, -73.979567188575)",Commercial,2720173,286993,National Grid
"10474(40.810882923108, -73.882356362356)",Commercial,2094768,221010,ConEd
"11435(40.701192649122, -73.809796655791)",Commercial,2935798,309743,National Grid
"11433(40.698104881735, -73.787574033914)",Institutional,1519465,160312,National Grid
"11226(40.646505002304, -73.957190099144)",Institutional,994926,104970,National Grid
"11370(40.75935377086, -73.8918440004)",Industrial,37449,3951,National Grid
"10004(40.688827825344, -74.019112505837)",Commercial,1326154,139917,ConEd
"11364(40.74592468038, -73.757902755608)",Residential,4453633,469883,ConEd
"11224(40.576304656335, -73.999532000401)",Small residential,2671212,281828,National Grid
"10458(40.862601328688, -73.884790015047)",Commercial,4109461,433571,ConEd
"10306(40.566020489654, -74.119945669057)",Commercial,1794789,189360,National Grid
"10025(40.796850127631, -73.963725810598)",Residential,507504,53545,ConEd
"11237(40.704095739827, -73.920994233997)",Large residential,4718001,497776,National Grid
"11237(40.704095739827, -73.920994233997)",Commercial,2600827,274402,National Grid
"11418(40.696370412365, -73.840310249918)",Institutional,726983,76701,National Grid
"11428(40.721396964798, -73.741937297268)",Commercial,596996,62986,National Grid
"11203(40.649721601171, -73.934276085673)",Small residential,13346866,1408169,National Grid
"10314(40.596490302985, -74.165991118795)",Small residential,19041165,2008950,National Grid
"11228(40.616540714083, -74.013277847395)",Institutional,278441,29377,National Grid
"11220(40.641184928741, -74.016764726711)",Industrial,2234971,235802,National Grid
"11235(40.578414108824, -73.940260000099)",Commercial,3818158,402837,National Grid
"10038(40.709359291898, -74.003071862376)",Commercial,4135128,436279,ConEd
"10466(40.890809730185, -73.846009063068)",Large Residential,1382332,145844,ConEd
"11357(40.786284041475, -73.811232061011)",Commercial,2399589,253170,ConEd
"10033(40.856219929206, -73.945859000193)",Residential,658126,69436,ConEd
"11370(40.75935377086, -73.8918440004)",Commercial,84349,8899,ConEd
"10459(40.825526216162, -73.893131067844)",Commercial,1859762,196215,ConEd
"10080(40.71445199976, -74.015474999971)",Commercial,359,38,ConEd
"10461(40.846960590359, -73.840632836736)",Large Residential,9651221,1018258,ConEd
"11207(40.670802431187, -73.893841150049)",Commercial,3104972,327592,National Grid
"11427(40.729310574324, -73.750676021281)",Institutional,219049,23111,National Grid
"11432(40.71311535449, -73.792820999789)",Small residential,5707516,602175,National Grid
"11222(40.728253121784, -73.947159783197)",Institutional,2368948,249937,National Grid
"10314(40.596490302985, -74.165991118795)",Commercial,42747652,4510117,National Grid
"10013(40.721242188776, -74.008889000227)",Large Residential,1137066,119967,ConEd
"11428(40.721396964798, -73.741937297268)",Institutional,196563,20738,National Grid
"11355(40.751299796948, -73.821478547897)",Commercial,4323496,456153,ConEd
"11208(40.674013182662, -73.872064930052)",Commercial,2729613,287989,National Grid
"11220(40.641184928741, -74.016764726711)",Commercial,5007824,528353,National Grid
"11103(40.762868930257, -73.91327185811)",Residential,2853904,301103,ConEd
"10451(40.820696407114, -73.923841367985)",Residential,259959,27427,ConEd
"10010(40.739140782121, -73.982898456399)",Commercial,3814933,402497,ConEd
"11377(40.745193764481, -73.90484714408)",Industrial,705930,74480,National Grid
"11372(40.751630739367, -73.883612545283)",Institutional,367432,38766,National Grid
"11207(40.670802431187, -73.893841150049)",Small residential,12107357,1277394,National Grid
"10463(40.881871962821, -73.911207480541)",Residential,507053,53497,ConEd
"10014(40.733586451354, -74.010199604728)",Commercial,17212,1816,ConEd
"11366(40.728164407262, -73.792268173937)",Commercial,636236,67126,ConEd
"11214(40.604011809897, -74.000969000119)",Commercial,3050502,321845,National Grid
"11434(40.676945262114, -73.775306901692)",Institutional,2215716,233770,National Grid
"11411(40.694293339066, -73.735683291251)",Large residential,45368,4787,National Grid
"11366(40.728164407262, -73.792268173937)",Small residential,6521,688,National Grid
"10304(40.591229442585, -74.111328000087)",Large residential,3415047,360307,National Grid
"11423(40.717222295672, -73.76714149998)",Institutional,508795,53681,National Grid
"11222(40.728253121784, -73.947159783197)",Commercial,3484625,367647,National Grid
"11206(40.701912016826, -73.942379198541)",Large residential,22360022,2359108,National Grid
"10460(40.843090348041, -73.87860282506)",Commercial,7936792,837376,ConEd
"11239(40.64949607998, -73.865524999879)",Industrial,11771,1242,National Grid
"10028(40.776344978838, -73.952966679569)",Commercial,4496346,474390,ConEd
"11434(40.676945262114, -73.775306901692)",Industrial,284067,29971,National Grid
"11430(40.647229326173, -73.786374952542)",Small residential,9195,970,National Grid
"10065(40.764301213031, -73.963039935445)",Large Residential,10486338,1106367,ConEd
"10023(40.774536138232, -73.979943356101)",Commercial,10588895,1117188,ConEd
"10302(40.630833311108, -74.137734298699)",Commercial,1185147,125040,National Grid
"11415(40.708286075142, -73.828556121568)",Residential,1303,137,ConEd
"11102(40.771524024514, -73.926435450735)",Large Residential,79519,8390,ConEd
"10028(40.776344978838, -73.952966679569)",Large Residential,420403,44355,ConEd
"11373(40.738710402563, -73.878351155182)",Commercial,3054489,322266,National Grid
"11367(40.730323085042, -73.82610630716)",Residential,2905831,306581,ConEd
"11040(40.745299961824, -73.679631932268)",Commercial,42315,4464,ConEd
"11355(40.751299796948, -73.821478547897)",Commercial,5137322,542016,ConEd
"11420(40.673345242689, -73.817707171649)",Large residential,108873,11487,National Grid
"10018(40.756840774582, -73.996691499813)",Residential,476865,50312,ConEd
"11211(40.711589765256, -73.958176750756)",Residential,,,ConEd
"11370(40.75935377086, -73.8918440004)",Residential,24585,2594,ConEd
"11359(40.791592466119, -73.776938368111)",Commercial,128,13,ConEd
"11355(40.751299796948, -73.821478547897)",Large Residential,2632163,277708,ConEd
"11692(40.59313388562, -73.795402084638)",Commercial,777179,81997,National Grid
"11213(40.671225169206, -73.936443366368)",Industrial,24515,2586,National Grid
"11208(40.674013182662, -73.872064930052)",Institutional,2265878,239063,National Grid
"10011(40.744715266696, -74.00460000029)",Residential,4029369,425121,ConEd
"10014(40.733586451354, -74.010199604728)",Residential,213234,22497,ConEd
"10011(40.744715266696, -74.00460000029)",Commercial,4672054,492928,ConEd
"10028(40.776344978838, -73.952966679569)",Commercial,1684068,177679,ConEd
"10010(40.739140782121, -73.982898456399)",Residential,61263,6464,ConEd
"11230(40.621929510239, -73.965511060187)",Commercial,2318028,244565,National Grid
"11203(40.649721601171, -73.934276085673)",Commercial,2692298,284053,National Grid
"11224(40.576304656335, -73.999532000401)",Industrial,101615,10721,National Grid
"10469(40.868181802748, -73.846568687795)",Residential,623043,65734,ConEd
"10467(40.877047912132, -73.871532500824)",Residential,1242679,131110,ConEd
"11004(40.743237834359, -73.712015000192)",Large Residential,3975637,419452,ConEd
"11242(40.693150000372, -73.991029000388)",Commercial,147434,15555,National Grid
"11104(40.744893366636, -73.920541345307)",Commercial,1377109,145293,ConEd
"10030(40.818435176043, -73.942765303576)",Commercial,879734,92817,ConEd
"11411(40.694293339066, -73.735683291251)",Commercial,262173,27661,National Grid
"10006(40.708256140309, -74.013553569641)",Residential,2076,219,ConEd
"10021(40.769205327664, -73.959183941086)",Residential,185761,19599,ConEd
"11225(40.663170058551, -73.953701109119)",Large residential,12401180,1308394,National Grid
"11209(40.623387097237, -74.030652953471)",Industrial,29677,3131,National Grid
"10308(40.552935295428, -74.151302759814)",Industrial,4178,441,National Grid
"11412(40.698127117473, -73.759235198346)",Small residential,9127477,963000,National Grid
"10025(40.796850127631, -73.963725810598)",Commercial,2954498,311716,ConEd
"11366(40.728164407262, -73.792268173937)",Commercial,4025,425,ConEd
"11371(40.775567374635, -73.870865499743)",Commercial,1381802,145788,National Grid
"10028(40.776344978838, -73.952966679569)",Residential,238163,25128,ConEd
"11433(40.698104881735, -73.787574033914)",Industrial,2449515,258438,National Grid
"10014(40.733586451354, -74.010199604728)",Large Residential,182728,19279,ConEd
"10453(40.852786838342, -73.913426784319)",Residential,785354,82859,ConEd
"10021(40.769205327664, -73.959183941086)",Commercial,3187154,336263,ConEd
"11220(40.641184928741, -74.016764726711)",Small residential,10755271,1134741,National Grid
"10003(40.731943947555, -73.98887214913)",Residential,3229606,340742,ConEd
"11366(40.728164407262, -73.792268173937)",Residential,2205608,232704,ConEd
"10036(40.759346827194, -73.989860554421)",Residential,1350797,142517,ConEd
"10012(40.725538020863, -73.997896410591)",Residential,2706972,285601,ConEd
"10472(40.829730432513, -73.870132131393)",Large Residential,17374,1833,ConEd
"11366(40.728164407262, -73.792268173937)",Commercial,1151855,121527,ConEd
"10311(40.607540999617, -74.171058999973)",Institutional,18255,1926,National Grid
"11208(40.674013182662, -73.872064930052)",Industrial,1481393,156295,National Grid
"11211(40.711589765256, -73.958176750756)",Commercial,4822516,508802,National Grid
"11204(40.619055848049, -73.984798598876)",Industrial,162329,17127,National Grid
"10037(40.813297761083, -73.937282525568)",Commercial,590552,62307,ConEd
"11439(40.72192479939, -73.794555132813)",Commercial,3739,395,ConEd
"10038(40.709359291898, -74.003071862376)",Large Residential,217207,22917,ConEd
"10310(40.632789000212, -74.11645860538)",Large residential,1270998,134097,National Grid
"10069(40.778254000322, -73.988541999913)",Commercial,791481,83506,ConEd
"10040(40.858095531883, -73.929255489949)",Large Residential,186062,19631,ConEd
"10468(40.869693003729, -73.898926992487)",Commercial,7690,811,ConEd
"11103(40.762868930257, -73.91327185811)",Residential,454090,47909,ConEd
"11225(40.663170058551, -73.953701109119)",Commercial,1296975,136838,National Grid
"11215(40.665557251366, -73.979681535574)",Industrial,1488168,157010,National Grid
"11223(40.596939623165, -73.973311472047)",Industrial,159925,16873,National Grid
"10025(40.796850127631, -73.963725810598)",Commercial,21864,2307,ConEd
"11695(40.597608000209, -73.820967000027)",Small residential,6691,706,National Grid
"10460(40.843090348041, -73.87860282506)",Residential,1686599,177946,ConEd
"11203(40.649721601171, -73.934276085673)",Large residential,5413010,571103,National Grid
"11216(40.680758670876, -73.949267750906)",Small residential,6780596,715391,National Grid
"11374(40.726464917022, -73.861480847563)",Industrial,3834,405,National Grid
"10013(40.721242188776, -74.008889000227)",Residential,4372985,461374,ConEd
"10009(40.726649358981, -73.979111485007)",Commercial,2008255,211882,ConEd
"11379(40.71679766548, -73.879334213103)",Commercial,1248717,131747,National Grid
"11415(40.708286075142, -73.828556121568)",Large residential,3021274,318761,National Grid
"11414(40.658170228174, -73.844962639814)",Small residential,6266456,661146,National Grid
"11208(40.674013182662, -73.872064930052)",Large residential,17908171,1889412,National Grid
"10002(40.716121467931, -73.985831470246)",Large Residential,115301,12165,ConEd
"10462(40.842258336653, -73.857996632938)",Large Residential,8264125,871912,ConEd
"10031(40.824954205073, -73.950124436094)",Residential,1748720,184500,ConEd
"11414(40.658170228174, -73.844962639814)",Large residential,2790928,294459,National Grid
"10022(40.758630224006, -73.96809182218)",Residential,122395,12913,ConEd
"11415(40.708286075142, -73.828556121568)",Small residential,1700526,179415,National Grid
"10304(40.591229442585, -74.111328000087)",Industrial,272952,28798,National Grid
"10022(40.758630224006, -73.96809182218)",Commercial,7987371,842712,ConEd
"11429(40.709913120494, -73.738640316098)",Large residential,47307,4991,National Grid
"11435(40.701192649122, -73.809796655791)",Commercial,160509,16935,ConEd
"10462(40.842258336653, -73.857996632938)",Residential,2849924,300683,ConEd
"10468(40.869693003729, -73.898926992487)",Residential,998166,105312,ConEd
"11354(40.768620220647, -73.827190280707)",Large Residential,2040792,215315,ConEd
"11417(40.676363730802, -73.844542755344)",Commercial,777807,82063,National Grid
"10467(40.877047912132, -73.871532500824)",Residential,2670008,281701,ConEd
"11432(40.71311535449, -73.792820999789)",Commercial,2979507,314355,National Grid
"11420(40.673345242689, -73.817707171649)",Institutional,2004714,211509,National Grid
"11221(40.691288039511, -73.927617927925)",Institutional,1174968,123966,National Grid
"10455(40.813535754971, -73.905355252043)",Commercial,1642415,173284,ConEd
"11228(40.616540714083, -74.013277847395)",Commercial,881038,92954,National Grid
"11102(40.771524024514, -73.926435450735)",Residential,311766,32893,ConEd
"11433(40.698104881735, -73.787574033914)",Commercial,26725,2820,ConEd
"11233(40.678130438169, -73.919776475504)",Industrial,88898,9379,National Grid
"10458(40.862601328688, -73.884790015047)",Residential,1321890,139467,ConEd
"10463(40.881871962821, -73.911207480541)",Commercial,2174885,229463,ConEd
"11356(40.784928096754, -73.841810700403)",Commercial,2433066,256702,ConEd
"11231(40.677554311782, -74.004676704366)",Commercial,3743947,395007,National Grid
"11423(40.717222295672, -73.76714149998)",Commercial,71779,7573,ConEd
"11101(40.745702449808, -73.938669029252)",Large Residential,11435850,1206546,ConEd
"11412(40.698127117473, -73.759235198346)",Industrial,164379,17343,National Grid
"11354(40.768620220647, -73.827190280707)",Residential,4101823,432765,ConEd
"10010(40.739140782121, -73.982898456399)",Residential,1026844,108338,ConEd
"11357(40.786284041475, -73.811232061011)",Small residential,589,62,National Grid
"11204(40.619055848049, -73.984798598876)",Large residential,4614998,486908,National Grid
"10038(40.709359291898, -74.003071862376)",Residential,430776,45449,ConEd
"10462(40.842258336653, -73.857996632938)",Commercial,2619354,276356,ConEd
"11220(40.641184928741, -74.016764726711)",Institutional,625816,66027,National Grid
"11232(40.654511617018, -74.000033929122)",Small residential,2619957,276420,National Grid
"11412(40.698127117473, -73.759235198346)",Institutional,1496825,157923,National Grid
"10468(40.869693003729, -73.898926992487)",Large Residential,2590340,273295,ConEd
"11364(40.74592468038, -73.757902755608)",Small residential,1463,154,National Grid
"10003(40.731943947555, -73.98887214913)",Large Residential,495206,52247,ConEd
"10311(40.607540999617, -74.171058999973)",Commercial,55290,5833,National Grid
"11419(40.688713790409, -73.822888330532)",Institutional,150090,15835,National Grid
"10453(40.852786838342, -73.913426784319)",Commercial,1766420,186367,ConEd
"10307(40.508004527487, -74.242114281948)",Industrial,1870,197,National Grid
"10035(40.793817035428, -73.919317500202)",Residential,1478698,156011,ConEd
"10019(40.76761164716, -73.991805500224)",Commercial,5022063,529856,ConEd
"11375(40.72070726303, -73.846284296083)",Commercial,2724624,287463,National Grid
"10017(40.752456527447, -73.97297648088)",Residential,23970,2529,ConEd
"11208(40.674013182662, -73.872064930052)",Small residential,12293703,1297055,National Grid
"11369(40.763413273704, -73.872378898667)",Small residential,5658707,597025,National Grid
"10458(40.862601328688, -73.884790015047)",Commercial,2860723,301822,ConEd
"11231(40.677554311782, -74.004676704366)",Large residential,8892620,938221,National Grid
"11201(40.694678258795, -73.989920868353)",Institutional,4499131,474684,National Grid
"10461(40.846960590359, -73.840632836736)",Commercial,313,33,ConEd
"11213(40.671225169206, -73.936443366368)",Small residential,5855036,617739,National Grid
"11371(40.775567374635, -73.870865499743)",Industrial,1707,180,National Grid
"11429(40.709913120494, -73.738640316098)",Institutional,1416594,149459,National Grid
"11435(40.701192649122, -73.809796655791)",Industrial,85671,9039,National Grid
"10009(40.726649358981, -73.979111485007)",Commercial,8554651,902564,ConEd
"10035(40.793817035428, -73.919317500202)",Commercial,6691182,705957,ConEd
"10470(40.900127971928, -73.87122775026)",Commercial,878692,92707,ConEd
"10454(40.805846930092, -73.916285046518)",Commercial,9709459,1024402,ConEd
"11691(40.600614338481, -73.762567774683)",Small residential,7887704,832197,National Grid
"10040(40.858095531883, -73.929255489949)",Residential,515640,54403,ConEd
"11218(40.64322700852, -73.976448622106)",Small residential,9322895,983618,National Grid
"10312(40.542955977337, -74.180376817236)",Small residential,16356892,1725744,National Grid
"10468(40.869693003729, -73.898926992487)",Commercial,4380584,462176,ConEd
"10310(40.632789000212, -74.11645860538)",Commercial,1837495,193866,National Grid
"11427(40.729310574324, -73.750676021281)",Small residential,2286768,241267,National Grid
"11418(40.696370412365, -73.840310249918)",Small residential,6229973,657297,National Grid
"10018(40.756840774582, -73.996691499813)",Large Residential,526802,55581,ConEd
"11216(40.680758670876, -73.949267750906)",Commercial,1795793,189466,National Grid
"11354(40.768620220647, -73.827190280707)",Commercial,7429045,783806,ConEd
"10012(40.725538020863, -73.997896410591)",Commercial,6584,695,ConEd
"11429(40.709913120494, -73.738640316098)",Small residential,5893890,621838,National Grid
"10029(40.791610720558, -73.944032281065)",Commercial,,,ConEd
"10456(40.830436680009, -73.907765199504)",Commercial,2957732,312057,ConEd
"11373(40.738710402563, -73.878351155182)",Industrial,159820,16862,National Grid
"10454(40.805846930092, -73.916285046518)",Residential,1001876,105704,ConEd
"10462(40.842258336653, -73.857996632938)",Residential,700617,73919,ConEd
"10039(40.826681928628, -73.937770907801)",Commercial,,,ConEd
"11229(40.601233507321, -73.944368541175)",Industrial,141426,14921,National Grid
"10035(40.793817035428, -73.919317500202)",Large Residential,1531490,161581,ConEd
"10039(40.826681928628, -73.937770907801)",Commercial,7605045,802375,ConEd
"10004(40.688827825344, -74.019112505837)",Large Residential,5877,620,ConEd
"11368(40.749678220374, -73.853040688577)",Industrial,508926,53695,National Grid
"11234(40.61636866748, -73.927732249743)",Industrial,657191,69337,National Grid
"11430(40.647229326173, -73.786374952542)",Institutional,2611959,275576,National Grid
