Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
50250,02/06/2018,7.14,16.2,6.32,94,39,1.97,0,0.004
21550,01/03/2018,7.39,16.5,6.21,93,41,2.12,0,0.007
20650,06/05/2018,7.45,15,5.97,97,58,2.21,0,0.005
47550,04/03/2018,7.42,16.5,7.03,105,46,2.09,0,0.007
46150,01/03/2018,7.5,16.6,6.24,92,40,2.18,0,0.005
31050,04/03/2018,7.43,16.6,6.57,109,42,2.01,0,0.006
30550,03/06/2018,7.4,15.5,5.92,92,42,2.01,0,0.005
18650,05/01/2018,7.25,14.7,6.39,103,50,2.05,0,0.005
31450,03/06/2018,7.4,15.4,5.69,91,39,2.02,0,0.004
31650,04/03/2018,7.35,16.8,6.72,107,43,2.25,0,0.004
50750,05/01/2018,7.41,16.1,7.36,107,56,2.06,0,0.004
40350,03/06/2018,7.32,15.1,6.25,93,42,2.09,0,0.006
47650,06/05/2018,7.59,15.8,6.55,100,64,2.1,0,0.004
76150,01/03/2018,7.25,16.5,6.22,89,42,2.17,0,0.005
77650,05/01/2018,7.26,14.5,6.76,104,51,2.26,0,0.01
59050,06/05/2018,7.34,14.4,5.83,97,55,2.25,0,0.005
78150,01/03/2018,7.46,16.3,6.17,92,41,2.12,0,0.006
23450,02/06/2018,7.23,16.3,6.09,92,38,2.05,0,0.005
33850,06/05/2018,7.47,15.3,5.91,99,58,1.99,0,0.009
51450,04/03/2018,7.22,16,6.77,106,41,2.18,0,0.005
53550,06/05/2018,7.32,14.6,5.78,96,57,2.2,0,0.007
15150,02/06/2018,7.36,17,6.28,94,37,2.06,0,0.003
44450,04/03/2018,7.16,16.1,6.71,105,44,2.14,0,0.004
40350,06/05/2018,7.32,14.8,5.94,96,60,2.2,0,0.007
27350,06/05/2018,7.33,14.5,5.82,97,59,2.08,0,0.005
33550,01/03/2018,7.49,17.2,6.23,95,40,2.41,0,0.004
35750,01/03/2018,7.39,17.1,6.25,95,42,2.13,0,0.005
50850,05/01/2018,7.22,14.4,6.71,106,52,2.26,0,0.005
22950,01/03/2018,7.48,16.5,6.18,94,40,2.01,0,0.006
50850,02/24/2018,7.31,,6.63,97,45,2.13,0,0.004
31450,06/05/2018,7.51,15.4,5.89,98,55,1.86,0,0.003
33850,03/06/2018,7.33,15.6,5.84,95,42,2.14,0,0.004
39950,06/05/2018,7.48,15.2,5.93,100,58,2.04,0,0.008
26850,04/03/2018,7.37,16.1,6.75,107,43,2.46,0,0.004
31550,03/06/2018,7.38,15.6,6.09,92,41,2.11,0,0.006
24350,02/06/2018,7.27,16.4,6.34,93,39,2.04,0,0.008
11750,06/05/2018,7.44,57.3,24.4,435,59,2.23,0,0.006
37450,04/03/2018,7.34,16.6,6.65,109,42,2.02,0,0.004
44350,05/01/2018,7.46,15.5,6.59,109,51,1.99,0,0.007
33050,06/05/2018,7.47,15.1,5.82,100,57,2.01,0,0.007
39650,05/01/2018,7.36,15.4,6.49,104,48,1.89,0,0.004
39950,03/06/2018,7.29,15.6,6.08,96,43,1.93,0,0.004
16150,03/06/2018,7.23,15.1,6.05,95,41,2.28,0,0.004
24350,05/01/2018,7.24,14.7,6.5,105,49,2.15,0,0.005
46150,04/03/2018,7.36,16.4,6.75,105,43,2.17,0,0.005
31950,01/03/2018,7.36,17.1,6.2,93,41,2.12,0,0.005
27350,03/06/2018,7.33,14.7,6.05,91,42,2.11,0,0.004
38250,02/06/2018,7.31,16.9,6.12,93,38,2.17,0,0.005
52050,05/01/2018,7.18,14.4,6.57,103,51,2.31,0,0.006
44450,01/03/2018,7.25,16.7,6.28,90,42,2.23,0,0.005
26850,01/03/2018,7.33,16.7,6.29,94,40,2.22,0,0.004
22250,04/03/2018,7.46,16,6.64,106,43,2.44,0,0.005
59050,03/06/2018,7.33,14.5,5.75,90,40,2.15,0,0.004
37950,02/06/2018,7.35,17.1,6.19,95,39,1.96,0,0.006
50750,02/06/2018,7.36,16.9,6.54,94,41,2.09,0,0.004
46250,06/05/2018,7.44,14.8,6.18,97,59,2.11,0,0.006
76150,04/03/2018,7.26,15.7,6.68,105,44,2.15,0,0.005
33550,04/03/2018,7.53,16.8,6.65,108,43,1.99,0,0.004
32350,05/01/2018,7.5,15.9,6.54,106,49,1.96,0,0.003
79550,03/06/2018,7.31,14.9,6.19,92,42,2.3,0,0.005
33950,02/06/2018,7.41,17.1,6.23,95,39,2.09,0,0.007
33550,07/10/2018,7.55,15.5,5.61,93,63,2.07,0,0.008
59050,12/04/2018,7.3,17.6,6.49,111,47,2.07,0,0.014
40350,09/05/2018,7.58,19,5.9,96,67,1.98,0,0.005
11750,09/05/2018,7.51,18.5,5.92,97,69,1.99,0,0.003
16150,12/04/2018,7.28,17.2,6.37,110,48,2.14,0,0.004
52050,08/07/2018,7.44,17.1,5.48,92,68,2.08,0,0.007
38250,08/07/2018,7.59,17.8,5.55,96,65,2.07,0,0.006
33450,11/07/2018,7.29,58.5,23,391,58,1.98,0,0.007
44350,11/07/2018,7.43,18.1,6.33,110,58,1.97,0,0.005
20650,12/04/2018,7.34,17.7,6.7,112,48,2.12,0,0.004
58650,11/07/2018,7.79,20,7.63,110,62,2.14,0,0.003
77650,11/07/2018,7.36,18,6.57,108,59,2.13,0,0.006
44450,07/10/2018,7.34,14.8,5.68,92,69,2.07,0,0.007
18650,08/07/2018,7.42,19.9,7.63,116,68,2.03,0,0.005
53550,09/05/2018,7.43,17.8,5.8,95,68,2.08,0,0.006
30150,07/10/2018,7.21,35.6,15.1,259,62,2.19,0,0.006
44350,08/07/2018,7.77,17.9,5.67,96,66,2.02,0,0.005
33050,09/05/2018,7.59,18.5,5.71,95,67,1.88,0,0.007
35750,10/03/2018,7.46,26.1,7.91,136,65,2.06,0,0.007
45250,08/07/2018,7.45,17.4,5.67,95,71,2.04,0,0.007
18650,11/07/2018,7.4,22.6,7.43,132,58,2.08,0,0.004
77650,08/07/2018,7.42,17.4,5.62,94,69,2.18,0,0.005
46150,10/03/2018,7.31,17.9,5.67,92,65,2.12,0,0.005
37450,10/03/2018,7.47,26.8,8.98,135,66,1.99,0,0.006
39650,11/07/2018,7.49,18.2,6.5,108,57,1.88,0,0.003
35750,07/10/2018,7.49,15.4,5.61,94,65,2.05,0,0.009
45250,11/07/2018,7.42,17.9,6.61,108,59,2.14,0,0.007
22950,10/03/2018,7.43,17.8,5.63,92,65,2.11,0,0.007
77750,09/05/2018,7.45,18,5.99,96,79,2.04,0,0.006
59050,09/05/2018,7.36,17.5,5.7,94,66,2.07,0,0.005
50250,11/07/2018,7.48,17.3,6.53,107,57,2.26,0,0.005
31550,12/04/2018,7.47,24.3,8.27,143,48,1.85,0,0.012
37950,08/07/2018,7.52,17.9,5.71,94,69,1.98,0,0.004
31050,07/10/2018,7.68,15.6,5.8,93,62,2.04,0,0.007
52050,11/07/2018,7.49,17.9,6.49,110,60,2.09,0,0.005
31750,11/07/2018,7.3,57.9,22.5,380,59,1.88,0,0.008
38250,11/07/2018,7.47,18.1,6.48,108,56,2.06,0,0.005
24350,08/07/2018,7.42,17.2,5.77,95,66,2.06,0,0.005
46250,12/04/2018,7.51,18.1,6.78,111,51,2.16,0,0.005
10750,07/10/2018,7.49,14.6,5.58,90,62,2.15,0,0.004
39650,08/07/2018,7.57,17.9,5.64,94,65,2.06,0,0.006
32350,11/07/2018,7.34,27.2,10.8,187,58,1.97,0,0.005
50750,11/07/2018,7.54,18.6,7.03,111,62,2.19,0,0.003
33050,12/04/2018,7.48,26.2,9.11,156,47,2.09,0,0.007
79550,12/04/2018,7.46,17.6,6.4,110,49,2.15,0,0.008
50750,08/07/2018,7.62,18.9,6.4,99,75,2.12,0,0.003
20150,09/05/2018,7.56,18.1,5.96,96,70,2.18,0,0.006
27350,12/04/2018,7.31,17.7,6.44,109,48,1.87,0,0.006
33850,09/05/2018,7.57,18.3,5.73,95,68,1.93,0,0.006
50250,08/07/2018,7.44,17,5.48,94,65,2.15,0,0.005
33950,11/07/2018,7.27,65.1,25.7,433,59,1.93,0,0.008
21550,10/03/2018,7.45,17.9,5.54,93,65,2.13,0,0.007
30550,09/05/2018,7.64,18.7,5.83,97,68,2.1,0,0.006
31850,11/07/2018,7.55,18.4,6.49,110,59,1.89,0,0.006
50850,08/07/2018,7.61,17.5,5.86,95,69,2.23,0,0.004
31650,07/10/2018,7.53,15.7,5.77,94,64,2.02,0,0.005
31450,09/05/2018,7.67,18.5,5.74,95,68,1.92,0,0.006
51450,10/03/2018,7.39,17.8,5.6,93,63,2.15,0,0.006
20650,09/05/2018,7.57,18.2,6.01,96,71,2.06,0,0.005
11750,12/04/2018,7.31,61.6,23.9,399,49,1.96,0,0.004
44450,10/03/2018,7.39,18.1,5.83,93,68,2.12,0,0.007
20150,12/04/2018,7.41,17.6,6.49,111,48,2.14,0,0.004
76150,10/03/2018,7.42,17.9,5.51,92,66,2.1,0,0.005
22950,07/10/2018,7.28,14.8,5.77,92,62,2.04,0,0.007
31050,10/03/2018,7.57,25.8,8.08,137,64,1.82,0,0.01
30550,12/04/2018,7.28,33.3,11.9,206,49,1.85,0,0.009
78150,07/10/2018,7.31,14.5,5.55,90,64,2.09,0,0.008
53550,12/04/2018,7.35,17.6,6.33,111,48,2.13,0,0.005
31450,12/04/2018,7.45,22.8,7.8,133,47,1.9,0,0.006
31950,10/03/2018,7.46,26.5,8.19,141,64,2.01,0,0.006
15150,11/07/2018,7.53,18.1,6.5,107,56,2,0,0.004
30150,10/03/2018,7.35,58.4,21.7,370,66,2.07,0,0.006
50850,11/07/2018,7.61,19,7.16,111,62,2.25,0,0.003
78150,10/03/2018,7.41,17.7,5.64,92,66,2.05,0,0.019
31550,09/05/2018,7.64,18.6,5.8,96,69,1.95,0,0.012
33550,10/03/2018,7.45,31.2,10.2,149,65,2.03,0,0.006
33950,08/07/2018,7.43,70.9,27.1,503,63,2.26,1,0.013
39950,12/04/2018,7.41,26.1,8.82,153,48,2.06,0,0.006
27350,09/05/2018,7.41,17.7,5.71,95,70,2.02,0,0.005
58650,08/07/2018,7.5,17.9,5.77,96,73,2.16,0,0.004
36950,09/05/2018,7.58,18.4,5.89,96,66,1.94,0,0.004
32350,08/07/2018,7.36,62.8,23.8,438,66,2.11,0,0.004
46250,09/05/2018,7.37,18.1,5.86,95,69,2.05,0,0.004
47550,07/10/2018,7.35,15,5.82,92,67,2.16,0,0.009
31950,07/10/2018,7.45,15.5,5.61,94,62,2.14,0,0.006
31650,10/03/2018,7.44,35.9,12.1,169,66,1.91,1,0.015
26850,07/10/2018,7.43,14.8,5.88,92,63,1.99,0,0.005
26850,10/03/2018,7.53,18.7,5.69,95,64,2.04,0,0.008
31850,08/07/2018,7.48,18.2,5.74,96,69,1.95,0,0.005
77750,12/04/2018,7.53,18,6.66,111,52,2.14,0,0.006
23450,08/07/2018,7.5,17.3,5.81,95,69,2.12,0,0.006
16150,09/05/2018,7.44,17.5,5.71,93,68,2.13,0,0.007
37950,11/07/2018,7.46,18.4,6.4,111,58,1.95,0,0.005
37450,07/10/2018,7.51,15.4,5.61,94,64,2.08,0,0.005
76150,07/10/2018,7.31,14.6,5.54,91,67,2.1,0,0.007
31650,10/26/2018,7.5,,6.19,97,60,2.21,0,0.004
31750,08/07/2018,7.53,18.2,5.7,96,70,2.07,0,0.005
47650,12/04/2018,7.53,19.4,7.22,117,52,2.21,0,0.005
51450,07/10/2018,7.36,14.8,5.55,92,60,2.12,0,0.006
36950,12/04/2018,7.32,27.6,9.85,168,49,2.12,0,0.005
24350,11/07/2018,7.47,17.7,6.52,110,58,2.23,0,0.005
33450,08/07/2018,7.46,70.7,27.3,498,61,2.26,0,0.01
33850,12/04/2018,7.44,25.9,8.93,156,48,1.96,0,0.006
47650,09/05/2018,7.5,19.1,6.33,99,73,2.04,0,0.004
46150,07/10/2018,7.36,15.1,5.7,92,65,2.14,0,0.006
47550,10/03/2018,7.43,18.6,5.66,94,64,2.04,0,0.007
33950,09/10/2018,7.6,,5.73,99,67,2,0,0.007
57750,10/03/2018,7.45,18.1,5.81,93,65,2.21,0,0.004
57750,07/10/2018,7.46,15,5.75,93,64,2.09,0,0.005
15150,08/07/2018,7.62,17.8,5.67,95,66,2.07,0,0.004
21550,07/10/2018,7.32,14.8,5.75,91,65,2.13,0,0.009
23450,11/07/2018,7.57,17.8,6.44,109,57,2.01,0,0.006
22250,07/10/2018,7.42,14.6,5.87,92,61,2.08,0,0.005
10750,10/03/2018,7.37,17.8,5.75,93,65,2.25,0,0.005
39950,09/05/2018,7.59,18.4,5.74,96,68,1.94,0,0.007
40350,12/04/2018,7.35,17.8,6.51,111,50,2.11,0,0.007
22250,10/03/2018,7.48,18.1,5.73,93,65,2.08,0,0.008
79550,09/05/2018,7.41,17.7,5.7,94,71,2.18,0,0.007
10750,01/02/2019,7.36,15.4,5.93,98,43,2.18,0,0.004
21550,01/02/2019,7.4,16,5.96,100,44,2.27,0,0.006
22250,01/02/2019,7.4,15.8,6.11,103,45,2.21,0,0.006
22950,01/02/2019,7.38,15.7,6.01,102,44,2.37,0,0.005
26850,01/02/2019,7.5,16.4,6.09,105,44,2.1,0,0.009
30150,01/02/2019,7.34,33.4,12,191,44,2.05,0,0.005
31050,01/02/2019,7.34,41.5,15,259,43,1.94,0,0.006
31650,01/02/2019,7.43,37.4,13.8,233,44,1.84,0,0.005
31950,01/02/2019,7.32,26.5,9.05,160,43,1.77,0,0.004
33550,01/02/2019,7.36,37.5,13.7,234,45,1.85,0,0.004
35750,01/02/2019,7.38,27.8,9.2,167,44,1.74,0,0.005
37450,01/02/2019,7.44,27.9,9.71,166,44,1.75,0,0.005
44450,01/02/2019,7.15,15.9,6.01,104,47,2.27,0,0.009
46150,01/02/2019,7.36,15.7,6.08,104,45,2.19,0,0.006
47550,01/02/2019,7.33,16.4,6.17,105,47,2.15,0,0.009
51450,01/02/2019,7.3,16,5.96,104,44,2.24,0,0.009
57750,01/02/2019,7.36,16.1,6.08,104,44,2.31,0,0.005
76150,01/02/2019,7.34,15.7,5.89,102,45,2.06,0,0.006
78150,01/02/2019,7.35,15.7,5.92,102,45,2.13,0,0.007
15150,02/05/2019,7.4,26,9.34,173,38,2.02,0,0.003
18650,02/05/2019,7.3,22.1,9.97,174,40,2.09,0,0.005
23450,02/05/2019,7.31,15.5,5.86,98,40,2.23,0,0.004
24350,02/05/2019,7.33,15.5,5.85,98,38,2.19,0,0.004
31750,02/05/2019,7.48,22.3,8.42,147,42,1.99,0,0.004
31850,02/05/2019,7.42,22.1,8.11,145,42,2,0,0.004
32350,02/05/2019,7.31,46.7,19,330,42,1.98,0,0.007
33450,02/05/2019,7.3,64.3,25.1,445,40,1.86,0,0.011
33950,02/05/2019,7.25,62.9,25.4,443,41,1.87,0,0.015
37950,02/05/2019,7.46,21.1,7.89,136,42,2.02,0,0.003
38250,02/05/2019,7.41,21.5,7.76,136,39,1.78,0,0.007
39650,02/05/2019,7.41,20.6,7.54,132,39,1.95,0,0.005
44350,02/05/2019,7.32,29,11,191,39,2.03,0,0.004
45250,02/05/2019,7.36,15.4,5.85,98,40,2.38,0,0.006
50250,02/05/2019,7.31,15.3,5.82,99,38,2.25,0,0.004
50750,02/05/2019,7.4,16.1,6.09,99,44,2.26,0,0.004
50850,02/05/2019,7.44,16.2,6.1,100,42,2.1,0,0.004
52050,02/05/2019,7.38,15.9,6.01,99,42,2.12,0,0.004
58650,02/05/2019,7.55,16.7,6.38,103,42,2.09,0,0.004
77650,02/05/2019,7.27,15.4,5.79,96,40,2.07,0,0.004
11750,03/05/2019,7.33,61.2,23.9,443,39,2.1,0,0.003
16150,03/05/2019,7.22,15.8,6.15,106,39,2.09,0,0.004
20150,03/05/2019,7.39,13.8,5.49,88,40,2.18,0,0.004
20650,03/05/2019,7.23,13.9,5.59,92,40,2.29,0,0.004
27350,03/05/2019,7.17,13.8,5.42,90,41,2.03,0,0.005
30550,03/05/2019,7.29,29.7,10.8,173,42,2.16,0,0.004
31450,03/05/2019,7.3,33.6,12.2,197,40,2.09,0,0.004
31550,03/05/2019,7.36,19.3,7.29,124,42,1.81,0,0.007
33050,03/05/2019,7.38,21.9,7.49,133,38,2.04,0,0.005
33850,03/05/2019,7.37,23.7,8.31,147,40,1.87,0,0.005
36950,03/05/2019,7.43,22.2,7.66,134,38,1.9,0,0.003
39950,03/05/2019,7.43,22.1,7.5,131,40,1.88,0,0.004
40350,03/05/2019,7.5,23.4,8.27,144,38,1.78,0,0.005
46250,03/05/2019,7.49,14.2,5.51,89,44,2.18,0,0.007
47650,03/05/2019,7.49,15.3,5.98,97,43,2.2,0,0.005
53550,03/05/2019,7.27,13.6,5.36,88,41,2.22,0,0.005
59050,03/05/2019,7.29,13.7,5.32,89,39,1.89,0,0.004
77750,03/05/2019,7.4,13.9,5.45,89,43,2.07,0,0.005
79550,03/05/2019,7.37,13.6,5.27,89,39,2.09,0,0.008
10750,04/02/2019,7.25,13.2,5.11,84,44,2.01,0,0.003
21550,04/02/2019,7.36,13.7,5.25,87,43,2.14,0,0.006
22250,04/02/2019,7.27,13.7,5.24,86,44,2.2,0,0.005
22950,04/02/2019,7.21,14.1,5.23,88,43,2.13,0,0.006
26850,04/02/2019,7.32,14.1,5.27,88,43,2.11,0,0.004
30150,04/02/2019,7.36,15.1,5.19,90,43,2.02,0,0.003
31050,04/02/2019,7.41,14.5,5.16,86,41,1.96,0,0.004
31650,04/02/2019,7.45,14.9,5.24,90,43,2.06,0,0.004
31950,04/02/2019,7.46,15,5.16,88,41,2.02,0,0.003
33550,04/02/2019,7.29,15,5.21,88,42,1.99,0,0.004
35750,04/02/2019,7.41,14.7,5.18,87,42,1.98,0,0.005
37450,04/02/2019,7.46,14.8,5.21,90,42,2.03,0,0.004
44450,04/02/2019,7.26,13.7,5.14,86,47,1.95,0,0.005
46150,04/02/2019,7.25,13.6,5.22,86,44,2.11,0,0.004
47550,04/02/2019,7.3,14,5.3,85,45,2.13,0,0.006
51450,04/02/2019,7.34,13.8,5.17,87,43,2.09,0,0.005
57750,04/02/2019,7.24,13.8,5.26,88,44,2.21,0,0.004
76150,04/02/2019,7.24,13.4,5.04,84,46,2.1,0,0.004
78150,04/02/2019,7.3,13.5,5.13,84,43,2.19,0,0.005
15150,05/07/2019,7.44,14,4.78,83,49,2.04,0,0.003
18650,05/07/2019,7.36,15,5.71,102,52,2.06,0,0.005
23450,05/07/2019,7.24,13.2,4.94,81,51,2.11,0,0.008
24350,05/07/2019,7.31,13.1,4.95,80,50,2.08,0,0.005
31750,05/07/2019,7.58,13.9,4.89,83,53,2.04,0,0.005
31850,05/07/2019,7.51,14.8,4.92,81,53,2.02,0,0.004
32350,05/07/2019,7.29,45.5,17.3,318,51,1.97,0,0.008
33450,05/07/2019,7.35,51.4,20.2,371,51,2.07,0,0.005
33950,05/07/2019,7.36,53.4,20.9,382,52,2.19,0,0.005
37950,05/07/2019,7.48,14.1,4.95,82,53,2.14,0,0.004
38250,05/07/2019,7.45,14,4.88,82,50,2.07,0,0.005
39650,05/07/2019,7.47,14.1,4.99,82,50,2.13,0,0.004
44350,05/07/2019,7.36,14,4.87,82,49,2.12,0,0.004
45250,05/07/2019,7.26,13.1,5.01,79,53,2.06,0,0.006
50250,05/07/2019,7.2,12.8,4.96,80,50,2.08,0,0.005
50750,05/07/2019,7.42,13.8,5.45,82,57,2.02,0,0.004
50850,05/07/2019,7.47,13.8,5.3,82,55,2.03,0,0.004
52050,05/07/2019,7.32,13.5,5.13,81,56,2.02,0,0.006
58650,05/07/2019,7.39,13.4,5.16,80,56,2.02,0,0.007
77650,05/07/2019,7.27,13,5.03,79,51,2.02,0,0.005
11750,06/04/2019,7.23,15.8,6,97,60,2.07,0,0.003
16150,06/04/2019,7.26,13.5,5.01,82,58,2,0,0.004
20150,06/04/2019,7.29,14,5.19,84,59,2.09,0,0.004
20650,06/04/2019,7.24,14,5.31,83,61,2.05,0,0.005
27350,06/04/2019,7.24,13.6,5.05,83,57,2.13,0,0.005
30550,06/04/2019,7.55,15.3,5.21,88,61,2.08,0,0.004
31450,06/04/2019,7.58,15.3,5.17,87,61,2.03,0,0.003
31550,06/04/2019,7.59,15,5.11,86,61,2.01,0,0.008
33050,06/04/2019,7.49,14.8,5.12,86,58,2.04,0,0.005
33850,06/04/2019,7.53,14.9,5.15,85,58,2,0,0.005
36950,06/04/2019,7.27,15,5.13,87,56,1.88,0,0.003
39950,06/04/2019,7.55,14.9,5.14,86,57,2.03,0,0.005
40350,06/04/2019,7.25,15.2,5.24,87,57,2.03,0,0.005
46250,06/04/2019,7.5,14.6,5.55,86,63,2.04,0,0.005
47650,06/04/2019,7.33,15.5,5.83,92,62,2.05,0,0.004
53550,06/04/2019,7.25,13.8,5.13,84,59,2.09,0,0.006
59050,06/04/2019,7.39,13.5,5.01,83,56,2.1,0,0.004
77750,06/04/2019,7.42,14.1,5.38,84,67,1.98,0,0.006
79550,06/04/2019,7.45,13.5,5.12,83,62,1.97,0,0.007
10750,07/02/2019,7.48,15.4,5.26,92,64,2.09,0,0.004
21550,07/02/2019,7.05,15.3,5.33,90,64,2.11,0,0.007
22250,07/02/2019,7.37,15.8,5.54,92,68,2.09,0,0.006
22950,07/02/2019,7.28,15.1,5.18,90,64,2.17,0,0.006
26850,07/02/2019,7.41,15.1,5.34,89,63,2.15,0,0.005
30150,07/02/2019,7.34,16,5.16,92,63,2.08,0,0.004
31050,07/02/2019,7.47,15.8,5.19,92,61,2.02,0,0.009
31650,07/02/2019,7.62,16.2,5.17,92,64,2.09,0,0.005
31950,07/02/2019,7.38,16.1,5.2,92,63,2.11,0,0.004
33550,07/02/2019,7.5,16.1,5.16,92,63,2.1,0,0.005
35750,07/02/2019,7.42,16.1,5.26,91,63,2.04,0,0.006
37450,07/02/2019,7.64,16.2,5.2,92,64,2.09,0,0.005
44450,07/02/2019,7.34,15.3,5.47,90,68,2.13,0,0.006
46150,07/02/2019,7.44,15.5,5.51,91,66,2.1,0,0.005
47550,07/02/2019,7.29,15.2,5.41,89,66,2.31,0,0.007
51450,07/02/2019,7.27,14.7,5.25,87,63,2.11,0,0.006
57750,07/02/2019,7.37,15.5,5.39,91,64,2.06,0,0.004
76150,07/02/2019,7.35,15.1,5.39,90,66,2.06,0,0.006
78150,07/02/2019,7.25,15.5,5.37,90,68,2.1,0,0.008
15150,08/06/2019,7.61,17.7,5.04,89,68,2.11,0,0.005
18650,08/06/2019,7.37,16.7,5.17,86,70,2.07,0,0.006
23450,08/06/2019,7.45,17.1,5.27,87,72,2.11,0,0.006
24350,08/06/2019,7.42,17.3,5.3,88,68,2.13,0,0.006
31750,08/06/2019,7.52,17.9,5.17,89,68,2.13,0,0.006
31850,08/06/2019,7.66,18.1,5.31,89,72,2.17,0,0.005
32350,08/06/2019,7.61,18.3,5.24,89,68,2.13,0,0.005
33450,08/06/2019,7.69,17.8,5.21,91,68,2.1,0,0.006
33950,08/06/2019,7.73,17.8,5.17,90,70,2.12,0,0.005
37950,08/06/2019,7.69,18,5.25,88,72,2.06,0,0.005
38250,08/06/2019,7.63,17.8,5.11,89,68,2.07,0,0.006
39650,08/06/2019,7.7,18.2,5.19,89,66,2.09,0,0.004
44350,08/06/2019,7.63,17.9,5.24,89,68,2.14,0,0.005
45250,08/06/2019,7.24,17.1,5.4,87,72,2.13,0,0.006
50250,08/06/2019,7.43,16.9,5.16,87,66,2.11,0,0.005
50750,08/06/2019,7.51,17.5,5.62,88,73,2.08,0,0.006
50850,08/06/2019,7.55,17.7,5.64,89,73,2.13,0,0.004
52050,08/06/2019,7.48,17.7,5.65,89,79,2.08,0,0.006
58650,08/06/2019,7.45,17.3,5.54,88,73,2.1,0,0.028
77650,08/06/2019,7.38,17.2,5.5,87,72,2.08,0,0.009
11750,09/04/2019,7.32,18.9,6.02,97,72,2.85,0,0.005
16150,09/04/2019,7.45,17.9,5.61,94,68,2.09,0,0.004
20150,09/04/2019,7.45,18.7,5.77,96,68,2.16,0,0.005
20650,09/04/2019,7.42,19.1,5.93,96,70,2.11,0,0.005
27350,09/04/2019,7.43,18.6,5.77,95,72,2.17,0,0.005
30550,09/04/2019,7.69,19.9,5.83,98,68,2.18,0,0.004
31450,09/04/2019,7.7,20,5.71,97,66,2.07,0,0.004
31550,09/04/2019,7.67,19.7,5.7,98,68,2.11,0,0.005
33050,09/04/2019,7.64,19.8,5.66,98,66,2.19,0,0.005
33850,09/04/2019,7.57,19.9,5.69,98,68,2.06,0,0.006
35750,09/04/2019,7.65,19.9,5.71,98,70,2.08,0,0.005
36950,09/04/2019,7.57,19.5,5.71,98,68,2.13,0,0.004
39950,09/04/2019,7.62,19.7,5.74,98,68,2.09,0,0.005
40350,09/04/2019,7.46,18.3,5.58,94,68,2.13,0,0.007
46250,09/04/2019,7.49,19,5.85,95,70,2.15,0,0.007
47650,09/04/2019,7.73,20,6.55,105,73,2.08,0,0.004
53550,09/04/2019,7.31,18.6,5.74,95,70,2.1,0,0.006
59050,09/04/2019,7.45,19.1,5.88,96,70,2.09,0,0.005
77750,09/04/2019,7.42,19.2,6.08,97,77,2.11,0,0.008
79550,09/04/2019,7.44,18.6,5.59,94,72,2.11,0,0.008
10750,10/01/2019,7.34,18.3,5.31,88,64,2.22,0,0.005
21550,10/01/2019,7.31,18.5,5.47,90,68,2.2,0,0.006
22250,10/01/2019,7.59,18.8,5.59,91,66,2.21,0,0.006
22950,10/01/2019,7.38,18.3,5.36,91,68,2.25,0,0.008
26850,10/01/2019,7.55,18.6,5.71,91,66,2.15,0,0.006
30150,10/01/2019,7.52,19.4,5.46,93,66,2.19,0,0.003
31050,10/01/2019,7.57,19.6,5.51,92,64,2.38,0,0.005
31650,10/01/2019,7.51,19.5,5.5,92,66,2.19,0,0.005
31950,10/01/2019,7.55,19.5,5.49,92,64,2.18,0,0.005
33550,10/01/2019,7.47,19.4,5.43,91,66,2.19,0,0.005
35750,10/01/2019,7.56,19.5,5.5,95,66,2.29,0,0.005
37450,10/01/2019,7.48,19.5,5.52,92,66,2.23,0,0.005
44450,10/01/2019,7.39,18.9,5.59,90,68,2.16,0,0.006
46150,10/01/2019,7.42,18.9,5.57,90,68,2.16,0,0.006
47550,10/01/2019,7.42,18.9,5.65,90,68,2.15,0,0.009
51450,10/01/2019,7.4,18.3,5.43,89,66,2.18,0,0.007
57750,10/01/2019,7.52,19.1,5.68,91,66,2.13,0,0.005
76150,10/01/2019,7.45,18.3,5.35,89,66,2.15,0,0.006
78150,10/01/2019,7.39,18.5,5.41,89,66,2.13,0,0.008
15150,11/06/2019,7.34,36,12.13,208,57,2.03,0,0.006
18650,11/06/2019,7.25,51.3,19.04,315,61,2.09,0,0.007
23450,11/06/2019,7.34,15.8,5.54,85,61,2.21,0,0.005
24350,11/06/2019,7.35,15.5,5.36,85,57,2.1,0,0.005
31750,11/06/2019,7.45,31.3,10.5,170,59,2.01,0,0.004
31850,11/06/2019,7.44,30.7,9.9,169,61,2.07,0,0.005
32350,11/06/2019,7.2,62.6,22.9,378,59,2.12,0,0.009
33450,11/06/2019,7.26,67,24.53,411,55,2.26,0,0.009
33950,11/06/2019,7.2,67,24.32,413,57,2.24,0,0.009
37950,11/06/2019,7.36,37.4,12.73,209,59,2.28,0,0.004
38250,11/06/2019,7.45,33.1,11.16,182,55,2.14,0,0.006
39650,11/06/2019,7.39,35.6,12.16,198,55,2.44,0,0.003
44350,11/06/2019,7.34,34.4,11.3,192,59,2.09,0,0.005
45250,11/06/2019,7.31,15.2,5.42,83,59,2.2,0,0.007
50250,11/06/2019,7.39,15.1,5.35,83,57,2.12,0,0.006
50750,11/06/2019,7.44,15.7,5.61,85,61,2.18,0,0.004
