Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
57750,10/07/2014,7.23,17.1,6.27,85,66,2.1,0,0.006
76150,10/07/2014,7.43,15.9,5.75,82,67,2.04,2,0.024
78150,10/07/2014,7.31,16,5.77,82,64,2.22,0,0.005
15150,11/05/2014,7.48,16.6,5.81,85,57,2.19,0,0.007
18650,11/05/2014,7.03,15.5,5.89,83,59,2.08,0,0.005
23450,11/05/2014,7.37,15.6,5.91,83,58,2.1,2,0.019
24350,11/05/2014,7.4,15.5,5.86,84,57,2.11,0,0.007
31750,11/05/2014,7.67,16.2,5.82,86,59,2.01,0,0.011
31850,11/05/2014,7.62,17,6.01,87,69,1.96,0,0.005
32350,11/05/2014,7.51,16.6,5.92,86,58,2.05,0,0.004
33450,11/05/2014,7.31,16.4,5.76,76,56,2.1,0,0.004
33950,11/05/2014,7.18,16.3,5.77,85,57,2.18,0,0.009
37950,11/05/2014,7.49,16.8,5.98,86,59,1.98,0,0.004
38250,11/05/2014,7.22,16.4,5.79,84,57,2.02,2,0.009
39650,11/05/2014,7.07,15.9,5.91,86,57,2.06,0,0.003
44350,11/05/2014,7.35,16,5.76,84,59,2.03,0,0.005
45250,11/05/2014,7.33,15.5,5.89,82,58,2.11,0,0.008
50250,11/05/2014,7.49,15.6,5.92,84,57,2.21,0,0.005
50750,11/05/2014,7.37,15.9,5.89,85,60,2.22,0,0.005
50850,11/05/2014,7.41,15.6,5.98,84,61,2.16,0,0.004
52050,11/05/2014,7.48,16.6,6.44,85,62,2,0,0.006
58650,11/05/2014,7.33,16,6.12,84,62,2.14,0,0.006
77650,11/05/2014,7.64,16.9,6.77,86,59,2.13,0,0.004
31050,11/06/2014,7.37,,,86,58,2.02,0,0.005
76150,11/06/2014,7.27,,,83,59,2.19,0,0.007
23450,11/25/2014,7.47,,,84,51,2.14,0,0.005
38250,11/25/2014,7.3,,,87,53,2.21,0,0.005
11750,12/02/2014,7.48,15.5,6.3,91,50,2.02,0,0.005
16150,12/02/2014,7.32,15.9,6.17,87,48,2.13,0,0.005
20150,12/02/2014,7.04,16.3,6.25,88,48,2.09,0,0.005
20650,12/02/2014,7.33,15.5,6.38,91,49,2.04,0,0.005
27350,12/02/2014,7.23,15.3,6.15,86,48,2.12,0,0.005
