RouteID	Route
LAYER	Arrival7
44.32784992	21.31819794
44.50826488	20.72884701
44.83541208	20.02927949
44.85350567	19.99964646
44.87816386	19.99617552
44.91268116	20.01649951
44.9248155	20.05055135
44.9198226	20.08004891
44.82650823	20.29120947
	
LAYER	Arrival8
45.30553946	19.38946101
45.01417554	20.30189623
44.87739616	20.61045009
44.76635723	20.71951927
44.71585838	20.70169996
44.69209999	20.6549471
44.70469985	20.56669141
44.71528959	20.54031193
44.81238808	20.32289414
	
LAYER	Arrival9
44.49607416	22.09787912
44.69694007	20.57873087
44.81236312	20.32298408
	
LAYER	Arrival10
43.93895342	22.39521661
44.69600264	20.5854785
44.81236199	20.32294711
	
LAYER	Arrival11
43.32628102	21.91277985
44.69081219	20.60003141
44.81236062	20.32299201
	
LAYER	Arrival12
43.1825342	21.50321723
44.51154309	20.67116695
44.69018298	20.59732706
44.81236568	20.32297873
	
LAYER	Arrival13
43.62936236	19.70530305
44.60895748	20.54002856
44.64871864	20.56338871
44.68498287	20.57128838
44.69944539	20.56085715
44.71472219	20.54443221
44.81238005	20.32295033
	
LAYER	Arrival14
44.9764622	19.78859247
44.64614717	20.44490295
44.64133247	20.47942252
44.65426156	20.50826929
44.67315113	20.53369302
44.68804086	20.54381361
44.70801048	20.53593894
44.72254249	20.52452766
44.81237014	20.32296394
