Data for Xe Arc lamp spectrometer
=================================

There are two files for the arc lamp data:
160113_01.asc		Mercury emission lamp spectrum for wavelength calibration.
160113_02.asc		Time profile of arc lamp intensity through the spectrometer
Description of the acquisition parameters and experimental protocol are described below. The bottom on the file provides the approximate wavelength calibration based on 160113_01.asc spectrum.


160113_01.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 1
CCD temperature = -10 C
This is the wavelength calibration of the Xe arc lamp spectrometer.  Calibration was  based on mercury atomic emission lamp spectrum (file “160113_01.asc”). 
Columns are: Pixel number, intensity (scan 1)
Rows 1-1024 correspond to measurement at different pixels (and wavelengths).

160113_02.asc
=============
Acquisition parameters:
Spectrometer slit width = 25 micron
CCD camera exposure time = 0.010 s
CCD spectra averaged = 500    (=12.6 s per scan)
Total number of recorded spectra = 200
CCD temperature = -10 C
Time profile of the Xe arc lamp intensity transmitted through the cavity. Volumes  of 10, 6, and 2  microlitre biacetyl were injected into the inlet stream at approximately scans 70, 112, and 149. The lamp was blocked from scan 196 to 200.
Columns are: Pixel number, intensities (scan 1, scan 2, scan 3… up to scan 200)
Rows 1-1024 correspond to different pixels (and wavelengths).

Paper figures are based on 160113_02.asc data.
Fig. 1b: shows the intensity at scan 1 and scan 75 plotted against wavelength
Fig. 2b. shows the time profile of the intensity at 400 nm (pixel 721) against scan number (raw data) and data normalised based on the intensity at 215 nm (pixel 1).
Fig. 3b. shows the correlation between the intensity at 215 nm and 400 nm for scans 1-110 and 196-200. The background intensity (scan 200) was subtracted from the intensity at 215 nm. The baseline makes little difference to the intensity at 400 nm and was ignored.  For figure clarity, the 2 subsequent additions of biacetyl were not shown, but including them does not alter the findings of the paper.


WAVELENGTH CALIBRATION
======================
Pixel no.	Wavelength calibration (nm)	
370	311.64
371	311.89
372	312.15
373	312.41
374	312.66
375	312.92
376	313.18
377	313.44
378	313.69
379	313.95
380	314.21
381	314.46
382	314.72
383	314.98
384	315.23
385	315.49
386	315.75
387	316.00
388	316.26
389	316.52
390	316.77
391	317.03
392	317.29
393	317.54
394	317.80
395	318.06
396	318.31
397	318.57
398	318.82
399	319.08
400	319.34
401	319.59
402	319.85
403	320.11
404	320.36
405	320.62
406	320.87
407	321.13
408	321.39
409	321.64
410	321.90
411	322.15
412	322.41
413	322.67
414	322.92
415	323.18
416	323.43
417	323.69
418	323.95
419	324.20
420	324.46
421	324.71
422	324.97
423	325.22
424	325.48
425	325.74
426	325.99
427	326.25
428	326.50
429	326.76
430	327.01
431	327.27
432	327.52
433	327.78
434	328.04
435	328.29
436	328.55
437	328.80
438	329.06
439	329.31
440	329.57
441	329.82
442	330.08
443	330.33
444	330.59
445	330.84
446	331.10
447	331.35
448	331.61
449	331.86
450	332.12
451	332.37
452	332.63
453	332.88
454	333.14
455	333.39
456	333.65
457	333.90
458	334.16
459	334.41
460	334.67
461	334.92
462	335.18
463	335.43
464	335.69
465	335.94
466	336.19
467	336.45
468	336.70
469	336.96
470	337.21
471	337.47
472	337.72
473	337.98
474	338.23
475	338.48
476	338.74
477	338.99
478	339.25
479	339.50
480	339.76
481	340.01
482	340.26
483	340.52
484	340.77
485	341.03
486	341.28
487	341.53
488	341.79
489	342.04
490	342.30
491	342.55
492	342.80
493	343.06
494	343.31
495	343.56
496	343.82
497	344.07
498	344.33
499	344.58
500	344.83
501	345.09
502	345.34
503	345.59
504	345.85
505	346.10
506	346.35
507	346.61
508	346.86
509	347.11
510	347.37
511	347.62
512	347.87
513	348.13
514	348.38
515	348.63
516	348.89
517	349.14
518	349.39
519	349.65
520	349.90
521	350.15
522	350.41
523	350.66
524	350.91
525	351.17
526	351.42
527	351.67
528	351.92
529	352.18
530	352.43
531	352.68
532	352.94
533	353.19
534	353.44
535	353.69
536	353.95
537	354.20
538	354.45
539	354.70
540	354.96
541	355.21
542	355.46
543	355.71
544	355.97
545	356.22
546	356.47
547	356.72
548	356.98
549	357.23
550	357.48
551	357.73
552	357.99
553	358.24
554	358.49
555	358.74
556	358.99
557	359.25
558	359.50
559	359.75
560	360.00
561	360.25
562	360.51
563	360.76
564	361.01
565	361.26
566	361.51
567	361.77
568	362.02
569	362.27
570	362.52
571	362.77
572	363.02
573	363.28
574	363.53
575	363.78
576	364.03
577	364.28
578	364.53
579	364.79
580	365.04
581	365.29
582	365.54
583	365.79
584	366.04
585	366.29
586	366.55
587	366.80
588	367.05
589	367.30
590	367.55
591	367.80
592	368.05
593	368.30
594	368.56
595	368.81
596	369.06
597	369.31
598	369.56
599	369.81
600	370.06
601	370.31
602	370.56
603	370.81
604	371.06
605	371.32
606	371.57
607	371.82
608	372.07
609	372.32
610	372.57
611	372.82
612	373.07
613	373.32
614	373.57
615	373.82
616	374.07
617	374.32
618	374.57
619	374.82
620	375.07
621	375.33
622	375.58
623	375.83
624	376.08
625	376.33
626	376.58
627	376.83
628	377.08
629	377.33
630	377.58
631	377.83
632	378.08
633	378.33
634	378.58
635	378.83
636	379.08
637	379.33
638	379.58
639	379.83
640	380.08
641	380.33
642	380.58
643	380.83
644	381.08
645	381.33
646	381.58
647	381.83
648	382.08
649	382.33
650	382.57
651	382.82
652	383.07
653	383.32
654	383.57
655	383.82
656	384.07
657	384.32
658	384.57
659	384.82
660	385.07
661	385.32
662	385.57
663	385.82
664	386.07
665	386.32
666	386.57
667	386.81
668	387.06
669	387.31
670	387.56
671	387.81
672	388.06
673	388.31
674	388.56
675	388.81
676	389.06
677	389.30
678	389.55
679	389.80
680	390.05
681	390.30
682	390.55
683	390.80
684	391.05
685	391.29
686	391.54
687	391.79
688	392.04
689	392.29
690	392.54
691	392.79
692	393.03
693	393.28
694	393.53
695	393.78
696	394.03
697	394.28
698	394.53
699	394.77
700	395.02
701	395.27
702	395.52
703	395.77
704	396.01
705	396.26
706	396.51
707	396.76
708	397.01
709	397.26
710	397.50
711	397.75
712	398.00
713	398.25
714	398.49
715	398.74
716	398.99
717	399.24
718	399.49
719	399.73
720	399.98
721	400.23
722	400.48
723	400.72
724	400.97
725	401.22
726	401.47
727	401.72
728	401.96
729	402.21
730	402.46
731	402.71
732	402.95
733	403.20
734	403.45
735	403.69
736	403.94
737	404.19
738	404.44
739	404.68
740	404.93
741	405.18
742	405.43
743	405.67
744	405.92
745	406.17
746	406.41
747	406.66
748	406.91
749	407.15
750	407.40
751	407.65
752	407.90
753	408.14
754	408.39
755	408.64
756	408.88
757	409.13
758	409.38
759	409.62
760	409.87
761	410.12
762	410.36
763	410.61
764	410.86
765	411.10
766	411.35
767	411.60
768	411.84
769	412.09
770	412.33
771	412.58
772	412.83
773	413.07
774	413.32
775	413.57
776	413.81
777	414.06
778	414.31
779	414.55
780	414.80
781	415.04
782	415.29
783	415.54
784	415.78
785	416.03
786	416.27
787	416.52
788	416.77
789	417.01
790	417.26
791	417.50
792	417.75
793	418.00
794	418.24
795	418.49
796	418.73
797	418.98
798	419.22
799	419.47
800	419.71
801	419.96
802	420.21
803	420.45
804	420.70
805	420.94
806	421.19
807	421.43
808	421.68
809	421.92
810	422.17
811	422.41
812	422.66
813	422.91
814	423.15
815	423.40
816	423.64
817	423.89
818	424.13
819	424.38
820	424.62
821	424.87
822	425.11
823	425.36
824	425.60
825	425.85
826	426.09
827	426.34
828	426.58
829	426.83
830	427.07
831	427.32
832	427.56
833	427.80
834	428.05
835	428.29
836	428.54
837	428.78
838	429.03
839	429.27
840	429.52
841	429.76
842	430.01
843	430.25
844	430.49
845	430.74
846	430.98
847	431.23
848	431.47
849	431.72
850	431.96
851	432.21
852	432.45
853	432.69
854	432.94
855	433.18
856	433.43
857	433.67
858	433.91
859	434.16
860	434.40
861	434.65
862	434.89
863	435.13
864	435.38
865	435.62
866	435.87
867	436.11
868	436.35
869	436.60
870	436.84
871	437.08
872	437.33
